player_id,player_name,player_link
beaslje01,Jerome Beasley,/players/b/beaslje01.html
beaslma01,Malik Beasley,/players/b/beaslma01.html
beaslmi01,Michael Beasley,/players/b/beaslmi01.html
beaubro01,Rodrigue Beaubois,/players/b/beaubro01.html
belinma01,Marco Belinelli,/players/b/belinma01.html
bellch01,Charlie Bell,/players/b/bellch01.html
belljo01,Jordan Bell,/players/b/belljo01.html
bellra01,Raja Bell,/players/b/bellra01.html
belltr01,Troy Bell,/players/b/belltr01.html
bembrde01,DeAndre' Bembry,/players/b/bembrde01.html
bendedr01,Dragan Bender,/players/b/bendedr01.html
bendejo01,Jonathan Bender,/players/b/bendejo01.html
benimje01,Jerrelle Benimon,/players/b/benimje01.html
benjaco01,Corey Benjamin,/players/b/benjaco01.html
bennean01,Anthony Bennett,/players/b/bennean01.html
benoida01,David Benoit,/players/b/benoida01.html
bensoke02,Keith Benson,/players/b/bensoke02.html
bentibe01,Ben Bentil,/players/b/bentibe01.html
bertada01,Davis Bertans,/players/b/bertada01.html
besttr01,Travis Best,/players/b/besttr01.html
beverpa01,Patrick Beverley,/players/b/beverpa01.html
bhullsi01,Sim Bhullar,/players/b/bhullsi01.html
bibbymi01,Mike Bibby,/players/b/bibbymi01.html
biedran01,Andris Biedrins,/players/b/biedran01.html
billuch01,Chauncey Billups,/players/b/billuch01.html
birchkh01,Khem Birch,/players/b/birchkh01.html
birdja01,Jabari Bird,/players/b/birdja01.html
biyombi01,Bismack Biyombo,/players/b/biyombi01.html
bjeline01,Nemanja Bjelica,/players/b/bjeline01.html
blackta01,Tarik Black,/players/b/blackta01.html
blairde01,DeJuan Blair,/players/b/blairde01.html
blakest01,Steve Blake,/players/b/blakest01.html
blakean01,Antonio Blakeney,/players/b/blakean01.html
blalowi01,Will Blalock,/players/b/blalowi01.html
blatcan01,Andray Blatche,/players/b/blatcan01.html
blaylmo01,Mookie Blaylock,/players/b/blaylmo01.html
bledser01,Eric Bledsoe,/players/b/bledser01.html
blounco01,Corie Blount,/players/b/blounco01.html
blounma01,Mark Blount,/players/b/blounma01.html
blueva01,Vander Blue,/players/b/blueva01.html
bobbito01,Tony Bobbitt,/players/b/bobbito01.html
boganke01,Keith Bogans,/players/b/boganke01.html
